,SMILES,clogp,qed,sas
191,Oc(c3)ccc(c3)C([H])(O1)C([H])(O)C(=O)c(c2)c(cc(O)c2)1,1.7751,0.736192093,3.05696995
192,Oc(c3)cc(O1)c(c(O)3)C(=O)C([H])(O)C([H])1c(c2)cccc2,1.7751,0.736192093,3.065200994
193,Oc(c2)cc(O)c(c2)C=CC(=O)c(c1)c(O)cc(O)c1,2.4051,0.507802196,2.324461809
194,Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cc(O)cc(O)1,2.4051,0.507802196,2.353357474
195,Oc(c2)ccc(c2)C=CC(=O)c(c(O)1)c(O)cc(O)c1,2.4051,0.507802196,2.329763628
196,Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cc(O)c(O)c1,2.4051,0.390538476,2.22499104
197,Oc(c2)ccc(c2)C(=O)CC(=O)c(c1)c(O)cc(O)c1,2.2591,0.585855093,2.063909921
198,Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)c(O)c(O)c1,2.4051,0.390538476,2.232913558
199,Oc(c4)cc(O1)c(c4)C(C3)C1c(c2)c(O3)c(O)c(O)c2,2.4131,0.641749144,3.494507978
200,Oc(c4)cc(O3)c(c4)C([H])(O1)C(O)(C3)c(c2)c(cc(O)c2)1,1.8115,0.681347473,3.548695023
201,COc(c2)ccc(c2)C(C)C(=O)c(c1)c(O)cc(O)c1,3.0928,0.839238314,2.469563202
202,COc(c2)cc(O)c(c2)C(=O)CCc(c1)ccc(O)c1,2.9219,0.821199877,1.846843543
203,Oc(c1)c(C)c(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.92732,0.747728949,2.153952718
204,COc(c2)c(ccc(O)2)CCC(=O)c(c1)ccc(O)c1,2.9219,0.821199877,1.900507279
205,COc(c1)cc(O)c(CCC(=O)c(c2)ccc(O)c2)c1,2.9219,0.821199877,1.879668817
206,COc(c1)c(C(=O)CCc(c2)cccc2)c(O)cc(O)1,2.9219,0.821199877,1.974932828
207,COc(c3)cc(O1)c(c3)CC(O)C1c(c2)ccc(O)c2,2.4379,0.88124487,2.84504563
208,COc(c3)cc(O)c(c3)[C@@]([H])(C1)Cc(c2)c(cc(O)c2)O1,2.8251,0.882238777,2.753568664
209,COc(c1)cc(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.9219,0.821199877,1.950400411
