SMILES,logp,qed
COc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C(=O)1,3.1073,0.91059405
Oc(c1)c(C)c(O)c(C(=O)3)c1OC([H])(C3)c(c2)cccc2,3.11272,0.835154251
COc(c3)cc(O1)c(c3)C(=O)CC1c(c2)ccc(O)c2,3.1073,0.91059405
Oc(c3)c(C)c(O1)c(c(O)3)C(=O)CC(c(c2)cccc2)1,3.11272,0.835154251
COc(c3)cc(O1)c(c(O)3)C(=O)CC1c(c2)cccc2,3.1073,0.91059405
COc(c3)cc(o1)c(c3)cc1c(c2)c(OC)cc(O)c2,3.8226,0.785615126
COc(c3)ccc(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.7597,0.911272768
COc(c3)c(ccc(O)3)C(C1)=Cc(c2)c(cc(O)c2)O1,3.0394,0.880228865
COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)ccc(O)c1,2.2703,0.673071223
COc(c2)ccc(c2)C=CC(=O)c(c1)c(O)cc(O)c1,3.0025,0.661723447
COc(c2)c(ccc(O)2)C=CC(=O)c(c1)ccc(O)c1,3.0025,0.661723447
COC(=C1)C(=O)C(=C(OC)C=Cc(c2)cccc2)C(=O)1,2.2824,0.478290111
COc(c1)c(O)cc(O)c1C(=O)C=Cc(c2)cccc2,3.0025,0.661723447
COc(c1)c(C(=O)C=Cc(c2)cccc2)c(O)cc(O)1,3.0025,0.661723447
COc(c2)ccc(c2)C=CC(=O)c(c1)c(O)ccc(O)1,3.0025,0.508915614
COc(c(O)2)c(O)c(cc2)C(=O)C=Cc(c1)cccc1,3.0025,0.661723447
COc(c1)cc(O)c(C(=O)C=Cc(c2)cccc2)c(O)1,3.0025,0.661723447
COc(c2)cc(O)c(c2)C(=O)C=Cc(c1)ccc(O)c1,3.0025,0.661723447
COc(c4)cc(O3)c(c4)C(O1)C(C3)c(c2)c(cc(O)c2)1,3.0105,0.864981897
COc(c2)c(ccc(O)2)C(=O)C=Cc(c1)ccc(O)c1,3.0025,0.661723447
COc(c4)cc(O1)c(c4)C([H])(C2)C([H])1c(c3)c(cc(O)c3)O2,3.0105,0.864981897
Oc(c4)cc(O1)c(c4)CCC1c(c2)cc(O3)c(OC3)c2,3.1872,0.864175593
COc(c2)c(O)cc(c(OC)2)[C@]([H])(C=C)c(c1)cccc1,3.7273,0.841349565
c(c2)ccc(c2)CCC(=O)C(=C(C)1)C(=O)C(C)(C)C(=O)1,2.6828,0.624065348
COc(c(C)3)c(C2)c(cc(O)3)OC(C2)c(c1)cccc1,3.77552,0.90229129
COc(c3)c(C)c(O1)c(c3)CC[C@H]1c(c2)ccc(O)c2,3.77552,0.90229129
COc(c1)cc(O2)c(CC[C@H]2c(c3)cccc3)c(OC)1,3.7701,0.849362465
Oc(c3)ccc(c3)c([o+1]1)c(O)cc(c(O)2)c(cc(O)c2)1,3.2033,0.509967543
Oc(c1)cc([o+1]2)c(ccc2c(c3)cc(O)c(O)c3)c(O)1,3.2033,0.4026843
Oc(c3)cc(O1)c(c3)C(=O)CC([H])1c(c2)cc(O)c(O)c2,2.5099,0.694218148
Oc(c3)ccc(c3)C(C1)Oc(c(O)2)c(ccc(O)2)C(=O)1,2.5099,0.694218148
Oc(c3)c(O)c(O1)c(c(O)3)C(=O)CC(c(c2)cccc2)1,2.5099,0.54817361
Oc(c3)ccc(c3)C(C1)Oc(c(O)2)c(c(O)cc2)C(=O)1,2.5099,0.694218148
Oc(c3)cc(O1)c(c(O)3)C(=O)CC1c(c2)c(O)ccc2,2.5099,0.742113913
Oc(c1)c(O)c(O)c(C(=O)3)c1OC(C3)c(c2)cccc2,2.5099,0.694218148
Oc(c3)cc(O1)c(c(O)3)C(=O)CC(O)1c(c2)cccc2,1.9083,0.737795215
Oc(c3)cc(cc3)C(C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5099,0.742113913
Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5099,0.742113913
Oc(c3)cc(O)c(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.1623,0.740166283
Oc(c3)ccc(c3)C([H])(O1)C([H])(O)C(=O)c(c2)c(cc(O)c2)1,1.7751,0.736192093
Oc(c3)cc(O1)c(c(O)3)C(=O)C([H])(O)C([H])1c(c2)cccc2,1.7751,0.736192093
Oc(c2)cc(O)c(c2)C=CC(=O)c(c1)c(O)cc(O)c1,2.4051,0.507802196
Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cc(O)cc(O)1,2.4051,0.507802196
Oc(c2)ccc(c2)C=CC(=O)c(c(O)1)c(O)cc(O)c1,2.4051,0.507802196
Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cc(O)c(O)c1,2.4051,0.390538476
Oc(c2)ccc(c2)C(=O)CC(=O)c(c1)c(O)cc(O)c1,2.2591,0.585855093
Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)c(O)c(O)c1,2.4051,0.390538476
Oc(c4)cc(O1)c(c4)C(C3)C1c(c2)c(O3)c(O)c(O)c2,2.4131,0.641749144
Oc(c4)cc(O3)c(c4)C([H])(O1)C(O)(C3)c(c2)c(cc(O)c2)1,1.8115,0.681347473
COc(c2)ccc(c2)C(C)C(=O)c(c1)c(O)cc(O)c1,3.0928,0.839238314
COc(c2)cc(O)c(c2)C(=O)CCc(c1)ccc(O)c1,2.9219,0.821199877
Oc(c1)c(C)c(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.92732,0.747728949
COc(c2)c(ccc(O)2)CCC(=O)c(c1)ccc(O)c1,2.9219,0.821199877
COc(c1)cc(O)c(CCC(=O)c(c2)ccc(O)c2)c1,2.9219,0.821199877
COc(c1)c(C(=O)CCc(c2)cccc2)c(O)cc(O)1,2.9219,0.821199877
COc(c3)cc(O1)c(c3)CC(O)C1c(c2)ccc(O)c2,2.4379,0.88124487
COc(c3)cc(O)c(c3)[C@@]([H])(C1)Cc(c2)c(cc(O)c2)O1,2.8251,0.882238777
COc(c1)cc(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.9219,0.821199877
COc(c3)cc(O2)c(c3)CC(C2)c(c1)c(O)cc(O)c1,2.8251,0.882238777
COc(c3)c(ccc(O)3)C(C1)Cc(c2)c(cc(O)c2)O1,2.8251,0.882238777
COc(c(O)3)cc(cc3)[C@H](C1)Oc(c2)c(ccc(O)2)C1,3.1727,0.881208896
COc(c3)cc(O1)c(c3)CC[C@H]1c(c2)cc(O)c(O)c2,3.1727,0.824335992
COc(c3)c(O)cc(c3)C(C1)Oc(c2)c(ccc(O)2)C1,3.1727,0.881208896
COc(c3)ccc(c3)C(C2)Oc(c1)c(C2)c(O)cc(O)1,3.1727,0.881208896
Clc(c3)ccc(c3)CC(O)(O1)C(=O)c(c2)c(ccc2)1,2.8464,0.915922124
Oc(c3)ccc(c3)C(C1)Oc(c2)c(c(O)cc(O)2)C(O)1,2.3606,0.640645619
Oc(c2)ccc(c2)CC(O)C(=O)c(c1)c(O)cc(O)c1,1.5897,0.634632934
Oc(c3)ccc(c3)C(O1)C(O)Cc(c(O)2)c(cc(O)c2)1,1.8405,0.636809949
Oc(c2)ccc(c2)CCC(=O)c(c(O)1)c(O)cc(O)c1,2.3245,0.641341435
Oc(c3)cc(O1)c(c3)CC(O)C1c(c2)cc(O)c(O)c2,1.8405,0.595710465
Oc(c3)cc(O1)c(c3)CC(O)C1c(c2)cc(O)c(O)c2,1.8405,0.595710465
